chain	rpc_var	vault	symbol	asset_symbol	decimals	cluster
8453	RPC_BASE	0x085178078796Da17B191f9081b5E2fCCc79A7eE7	eUSDC-29	USDC	6	alphagrowth-yo-yousd
8453	RPC_BASE	0x990d616ca6E7192625d1B7C41Fb67b5758DF7CF2	eyoUSD-1	yoUSD	6	alphagrowth-yo-yousd
8453	RPC_BASE	0x24D633664Aea3F551B2Fa34fA66Dd1BA52a33933	ePT-yoUSD-26MAR2026-1	PT-yoUSD-26MAR2026	6	alphagrowth-yo-yousd
8453	RPC_BASE	0xe72eA97aAF905c5f10040f78887cc8dE8eAec7E4	ecbBTC-7	cbBTC	8	alphagrowth-yo-yobtc
8453	RPC_BASE	0xFab9aF50F7A1Cfe201CAE1c15fCFdDaE7705ccD3	eyoBTC-1	yoBTC	8	alphagrowth-yo-yobtc
8453	RPC_BASE	0x4C1aeda9B43EfcF1da1d1755b18802aAbe90f61E	eUSDC-49	USDC	6	alphagrowth-base
8453	RPC_BASE	0x81744B5B5527852832F2dd3554C191d3B1342108	ereUSD-2	reUSD	18	alphagrowth-base
8453	RPC_BASE	0x859160DB5841E5cfB8D3f144C6b3381A85A4b410	eWETH-1	WETH	18	alphagrowth-base-market
8453	RPC_BASE	0x7b181d6509DEabfbd1A23aF1E65fD46E89572609	ewstETH-1	wstETH	18	alphagrowth-base-market
8453	RPC_BASE	0x358f25F82644eaBb441d0df4AF8746614fb9ea49	ecbETH-1	cbETH	18	alphagrowth-base-market
8453	RPC_BASE	0xd4A805261B28f375fc9c3d89EcD2C952Cd130d14	eweETH-1	weETH	18	alphagrowth-base-market
8453	RPC_BASE	0x0A1a3b5f2041F33522C4efc754a7D096f880eE16	eUSDC-1	USDC	6	alphagrowth-base-market
8453	RPC_BASE	0x882018411Bc4A020A879CEE183441fC9fa5D7f8B	ecbBTC-1	cbBTC	8	alphagrowth-base-market
8453	RPC_BASE	0x3f0d3Fd87A42BDaa3dfCC13ADA42eA922e638a7A	eLBTC-1	LBTC	8	alphagrowth-base-market
8453	RPC_BASE	0x5Fe2DE3E565a6a501a4Ec44AAB8664b1D674ac25	eAERO-1	AERO	18	alphagrowth-base-market
130	RPC_UNICHAIN	0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC	eWETH-1	WETH	18	alphagrowth-unichain-market
130	RPC_UNICHAIN	0x54ff502df96CD9B9585094EaCd86AAfCe902d06A	ewstETH-1	wstETH	18	alphagrowth-unichain-market
130	RPC_UNICHAIN	0xe36DA4Ea4D07E54B1029eF26A896A656A3729f86	eweETH-1	weETH	18	alphagrowth-unichain-market
130	RPC_UNICHAIN	0x6eAe95ee783e4D862867C4e0E4c3f4B95AA682Ba	eUSDC-1	USDC	6	alphagrowth-unichain-market
130	RPC_UNICHAIN	0xD49181c522eCDB265f0D9C175Cf26FFACE64eAD3	eUSDT0-1	USD₮0	6	alphagrowth-unichain-market
130	RPC_UNICHAIN	0x7650D7ae1981f2189d352b0EC743b9099D24086F	esUSDC-1	sUSDC	18	alphagrowth-unichain-market
130	RPC_UNICHAIN	0x5d2511C1EBc795F4394f7f659f693f8C15796485	eWBTC-2	WBTC	8	alphagrowth-unichain-market
130	RPC_UNICHAIN	0x218c9e961fC5f6c8280bA160365FAbe8A53Ec6E5	erETH-2	rETH	18	alphagrowth-unichain
130	RPC_UNICHAIN	0x5ADAde21c703912547BFc8952fe1B52f09437E2A	eWETH-4	WETH	18	alphagrowth-unichain
59144	RPC_LINEA	0xa8A02E6a894a490D04B6cd480857A19477854968	eWETH-1	WETH	18	alphagrowth-linea-wsteth
59144	RPC_LINEA	0x359e363c11fC619BE76EEC8BaAa01e61D521aA18	ewstETH-1	wstETH	18	alphagrowth-linea-wsteth
59144	RPC_LINEA	0xF4712fC5E6483DE9e1Ff661D95DD686664327086	eWETH-2	WETH	18	alphagrowth-linea-weeth
59144	RPC_LINEA	0x8955d7dCdE9bD9694B64732aD28fF2113eb217B4	eweETH-1	weETH	18	alphagrowth-linea-weeth
1	RPC_MAINNET	0x2a356443FeE07703266066c6Bb1B11b82d8246AD	eUSDC-69	USDC	6	alphagrowth-mapollo
1	RPC_MAINNET	0xC11d6b78D8c609A6cbf66E89DBfea06b011B0AEf	eUSDT-33	USDT	6	alphagrowth-mapollo
1	RPC_MAINNET	0x49d9fd20f1d61648Fa9434a8c0C33174F5614eB8	emAPOLLO-1	mAPOLLO	18	alphagrowth-mapollo
1	RPC_MAINNET	0xF75D18F76859764aBe4D13cA2eBaCeFF0b90b262	ePT-mAPOLLO-20NOV2025-1	PT-mAPOLLO-20NOV2025	6	alphagrowth-mapollo
1	RPC_MAINNET	0xbD858DCee56Df1F0CBa44e6F5a469FbfeC0246cd	eARM-WETH-stETH-1	ARM-WETH-stETH	18	origin-arm-weth
1	RPC_MAINNET	0x6Fe7Fa90756434645F0b0428fDff78E99Dda0FBc	eUSDC-63	USDC	6	alphagrowth-cap
